OntoKey,Keyword,Support,Negative Examples
taxonomicClassification_taxonCommonName,OrganismOrganisms.Organism.Taxonomy.kingdom,8077,
contactPerson_givenName,contact.individualName.givenName,19,contact.references
contactPerson_givenName,contacts.contactPerson.name,12,
contactPerson_surName,contact.individualName.surName,20,contact.references
contactPerson_phone,contacts.contactPerson.phone,12,
contactPerson_phone,contact.phone,8,
contactPerson_phone,contacts.contactPerson.mobile,9,
contactPerson_electronicMail,contact.electronicMailAddress,19,
contactPerson_electronicMail,contacts.contactPerson.email,12,
contactPerson_organization,contact.organizationName,20,
contactPerson_organization,contacts.contactPerson.institute,,
contactPerson_address_postalCode,contact.address.postalCode,13,
contactPerson_address_postalCode,contacts.contactPerson.postalCode,12,
contactPerson_address_street,contacts.contactPerson.street,12,
contactPerson_address_deliveryPoint,contact.address.deliveryPoint,13,
contactPerson_address_country,contact.address.country,16,
contactPerson_address_city,contacts.contactPerson.city,12,
metadataProvider_givenName,metadataProvider.individualName.givenName,14,
metadataProvider_givenName,metadataProvider.individualName.firstName,,
metadataProvider_givenName,contacts.metadataCreator,12,
metadataProvider_surName,metadataProvider.individualName.surName,15,
metadataProvider_phone,metadataProvider.phone,6,
metadataProvider_electronicMail,metadataProvider.electronicMailAddress,16,
metadataProvider_organization,metadataProvider.organizationName,16,
metadataProvider_address_postalCode,metadataProvider.address.postalCode,9,
metadataProvider_address_deliveryPoint,metadataProvider.address.deliveryPoint,10,
metadataProvider_address_country,metadataProvider.address.country,13,
metadataProvider_address_city,metadataProvider.address.city,,
metadataProvider_address_street,metadataProvider.address.street,,
dataCreator_address_street,metadataProvider.address.street,,
dataCreator_givenName,creator.individualName.givenName,200,
dataCreator_givenName,creator.individualName.firstName,,
dataCreator_givenName,DataCreators.DataCreatorsType.DataCreator.contact,18,
dataCreator_givenName,DataOwners.DataOwnersType.DataOwner.contact,18,
dataCreator_givenName,contacts.dataCreator,12,
dataCreator_surName,creator.individualName.surName,201,
dataCreator_phone,creator.phone,65,
dataCreator_electronicMail,creator.electronicMailAddress,172,
dataCreator_organization,creator.organizationName,154,
dataCreator_organization,creator.institute,,
dataCreator_address_postalCode,creator.address.postalCode,41,
dataCreator_address_deliveryPoint,creator.address.deliveryPoint,90,
dataCreator_address_country,creator.address.country,136,
dataCreator_address_city,creator.address.city,103,
teamLeader_givenName,contacts.projectLeader,12,
